PieceNr;Key;PageNr;Name;Composer;Comment;Tuning;Concordances;TimeInz;Tab
1;F dur;1r;Ouverture;;"""1""";;Conc_5367;C;"a/ | [aVda{,a}1] ,,,a [,,#d3/2] ,,d/ | [,,dcc{,,a}2] \
[,,dcc/] ,,e ,a ,c | [aVda{,,,a}1] (,c/ ,a) ,,,,,c ,a c c | \
([c,,,,d/] ,a) (,c ,a) (,,d ,,b) [,,'a] ,,,c | "
2;F dur;2v;Courante;;"""2""";;Conc_5368;3;"a/ ,,d ,,b | [,,'a{,a}3/2] ,,,c/4 ,,a ,,,a1 | \
(,,a/4 ,,b ,,d/) [,aba{d}1] [,aba/] ,a | [,'cb{a}3/2] \
,c/ [aVda,,a1] | [c,,,c1] V[e,,,d3/2] f/ | [c{4}1] ,,d2 | "
3;F dur;3v;Menuett;;"""3""";;;3;"[,h{,a}/] f h1 [h{,,a}] | ['e{,a}1] ,f/ e ,d1 | [,h{,a}/] \
f h1 [h{,,a}] | ['e{,a}1] ,f/ e ,d1 | [,,d,,a1] ,a \
[,c{a}] | [aVda{,a}1] (,c/ ,a) (,,d ,,b) | "
4;C dur;4v;Rigodon;;"""4""";;;C;",f1 | [h{4}2] 'c | [,'c,,,d3] [c,,,,c1] | [,,d,,a1] \
,,d ([,a,,,c/] ,c) ,d1 | [,'c,,,d1] (,a/ ,c) ,,d1 [c,,,,c] | \
[,,d,,a1] ,,d ([,a,,,c/] ,c) ,d1 | "
5;C dur;5v;Menuett;;"""5""";;;3;"([,,d,,d/] ,,c) ,,d ,a ,c a | [c{4}1] ,,d [,,d,c] | \
[e,,,(d/] [,,,,c)] ,,,,d1 [g,,,a] | V[h,,,,f1] 'g/ ,h ,f a | \
([,c,,,d/] ,a) ,,d1 e | "
6;F dur;6v;Aria;;"""6""";;Conc_3600;C;",,d/ | [,,de{,a}/] a [a,a] [c,b] [,'c{4}] ,,d ,,d [a{,,,a}] | \
V[c{,,a}/] (,d/4 ,c/8 ,a) ,,d/ [c{4}] V[e,d{,a}3/2] e/ | \
([e{,a}/] c) ([c{,,a}] a) ([,d{,,,a}] ,c) [,c{4}] [a{,,,a}] | "
7;F dur;7v;Double;;"""6""";;Conc_3742;C;",,,c/4 ,,a ,,b | {,a}/4 ,,d ,,,e ,,d ,,,,d ,d ,,,f ,f {4} \
,c ,,d ,c ,,,c ,c {,,,a} a | {,,a}/4 c ,c c ,,d c ,d c"
8;F dur;8v;Rondeau;;"""7""";;Conc_4003;3;"(,,d/ ,,b) | [,,'a{,a}1] (,,a/ ,,b) [,,'b{a}] (,,a/4 ,,b) | \
V[,,d,,a2] ,,,a1 | [,,,c,b1] ,,,c/ ,,a [,,'a,,a] ,,,c/4 \
,,a | V[,,b{a}2] {,a}1 | [,,d{,,a}1] ,,,c/ ,,a ,,b1 | "
9;F dur;9v;Guigue;;"""8""";;Conc_3601;6/8;",,d/ | [aVda{,a}1] c/ (e c) a | V[c,d{,,a}3/2] Vh1 ,,h/ | \
([a{,,,a}/] c) e ([c,,,,c] e) ,d | [,'c{4}3/2] ,,d1 ,h/4 f | \
V[h,,,,a1] h/ ([h{,,,a}] f) ,h | "
10;a moll;10v;Allemande;;"""9""";;Conc_3743;C;"e/ | [ecd,,a1] ,,,e/ 'c/4 a ,c/ ,,,e [,,,'d] [,'a] | \
,,,,,a/4 ,,d ,,,e/ [,,ce{,,a}] [,,,'d/4] ,,a/8 ,,,d [,,aVe/] \
{,a} (,a/4 ,c) [,'c{,,a}] (,a/8 ,c) | "
11;a moll;11v;Courante;;"""10""";;Conc_3744;3;"h/ ,k h | [,'h1] ,,h ,,,h | ,,a1 ,,,,c ,,,,,d | ,,,,,a/ ,,a \
{,,a} (,,c ,,a) ,,,d | [,,ae,a3/2] ,,c/ ,,d ,a | ,c/ ,,,e \
[,,,'d1] [,'a] | "
12;a moll;12r;Sarabande;;"""11""";;Conc_3750;3;"[ecd,,a/] e | [ecc{,,a}3/2] e/ ['ccc{,,a}] c | [cce,,a3/2] \
e/ ['aaa,a] a | [aac{a}3/2] c/ [,'c{4}] ,c | [,ca{,a}3/2] \
,d/ [,'a] ,,d | [,,'c{a}/] ,,a ,,,c {,a} V[,,dc{,,a}] ,,c | "
13;a moll;12v;Menuett;;"""12""";;Conc_740;3;"[ecd,,a1] (,c/ ,a) ,,d ,,c | [,,'a1] ,,,,,a/ (,,c ,,d) ,a | \
V[,c{4}1] (,d/ ,c) [,a{,,,a}] ,,d | [,,c{,,a}/] ,,,e ,,,d \
,,,,e (,,,,c ,,,,a) | [,,a,,d1] ,,a/ ,,,d ,,a1 | "
14;a moll;13r;Guigue;;"""13""";;Conc_3745;C;",,a/ | [,,aVe,a3/2] ,,c/ V,,d ,,a ,,d ,a | V,c/ ,,,e [,,,'d] \
[,'a] ,,,e/4 ,,c ,,d/ ,,,,c/4 ,,c [,,,'d/] | [,,aVe/] ,,,,d \
[,,,,'c] ,,,,d [,,,,'a] ,a ,,d ,a | "
15;a moll;13v;Menuet;;"""14""";;;3;"[ecd,,a2] ,c1 | [,,'d,,a1] (,,c/ ,,d) ,,a1 | [,c,,,(a/] \
[,,,,,c)] ,,,,,d1 [,,a,a] | [,,,'d{,,a}1] ,,,,e/ ,,,d \
,,,,c1 | [,,a,,d1] ,,a [,,c,,c] | V[,,d,,a1] (,,a/ ,,c \
,,d) ,a | "
16;g moll;14v;Bouree;;"""15""";;;C;",a1 | [,ab{a}1] [,bd] [,,dee] [,a,,a] | [,,'b{a}3/2] ,,a/ \
,,,c1 [,,aba] | V[,,bc{a}1] [,,'aa{,a}] [,,,ca{,,a}] \
,,,,,d/ ,,a | [,,,'ba1] {,,,a}2 :| "
17;g moll;15r;Rondeau;;"""16""";;Conc_4164;3;"#c1 | 'a1 ,b [,a,c] | [,a,a1] [,,d,b] [,,#b,a] | [,,'a,,d1] \
(,,b/ ,,a) ,,,c ,,a | [,,,'ba1] {,,,a} [,,,ba] | [,,,c,b1] \
{a} [,,a{b}] | V[,,b{a}1] ,,,,,a/ ,,d [,a,,,b1] | "
